タイトル,平均価格,送料,販売数,売上合計,最終販売日
Magia Record Puella Magi Madoka Magica Splash Girls Madoka Homura Figure set,54.18,10,41,2221.57,Jul 18 2026
Hatsune Miku Desktop Cute Figure With Cat Ears T Shirt Ver TAITO 2024 NO BOX,9.33,0,36,335.89,Jul 18 2026
Round1 x Ado Figure Winter Ver. Limited Prize Figure Official NEW,49.96,13.88,33,1648.68,Jul 12 2026
Ado Figure Winter Ver. 7" Figure Round1 Limited Prize TAITO New - US Seller,53.77,0,32,1720.73,Jul 18 2026
New Hatsune Miku Anime figure Pink dress Sitting Posture PVC Model Action Toys,6.82,0,23,156.97,Jul 17 2026
Lucky Star Izumi Konata Trio-Try-iT Figure FuRyu 17cm NEW,33.69,0,23,774.94,Jul 11 2026
Round1 x Ado Figure Winter Ver. Limited Prize Figure Official NEW,40.55,4.99,22,892.06,Jul 18 2026
Banpresto My Hero Academia Maximatic Figure Toy Katsuki Bakugo,12.07,0,21,253.37,Jul 18 2026
JoJo Steel Ball Run Johnny Joestar Gyro Zeppeli Mometria Figure Set of 2 New,56.29,0,21,1182.18,Jul 11 2026
Satoru Gojo EAKI Jujutsu Kaisen Cat Ear Plush Series Figure Confirmed Blind Box,10.4,0,21,218.47,Jul 14 2026
Re Zero Felt Reinhard Figure Set Starting Life in Another World Japan,60.65,12,20,1213,Jul 16 2026
JoJo Steel Ball Run Mometria Johnny Joestar Gyro Zeppeli Figure Set of 2,63.46,0,19,1205.81,Jul 13 2026
Evangelion Shin Gekijouban Nagisa Kaworu Naomi Torami 1/7 28cm Anime Figures,75.93,21.74,14,1063.07,Jul 18 2026
DEATH NOTE L Noodle Stopper Figure Furyu,29.86,7,14,418.03,Jul 18 2026
Ichiban kuji My Hero Academia Izuku Midoriya Katsuki Bakugo Figure Set of 2,249.45,0,11,2743.9,Jul 11 2026
Lucky Star Kagami Hiiragi Tsukasa Hiiragi Figure 2 Set Trio-Try-iT FuRyu NEW,59.05,2.49,11,649.52,Jul 15 2026
McDonald's x Evangelion Collaboration EVA Japanese Anime Value set Figure,77.59,0,11,853.47,Jul 12 2026
One Piece Leader Card & Figure LECAFIG Yamato & Jewelry Bonney Set of 2 Japan,82.97,16.11,9,746.75,Jul 15 2026
Sega Prize Chainsaw Man Reze Arc High-Premium Figure Angel Devil JAPAN NEW,44.25,0,8,354,Jul 11 2026
My Hero Academia Izuku Midoriya "You Can Do It" Ichibansho MASTERLISE Figure,125.99,9.2,6,755.94,Jul 14 2026
Chainsaw Man Movie REZE Popcorn Box Figure Bucket Denji Head Theater Limited New,79.89,28.19,5,399.44,Jul 18 2026
The Summer Hikaru Died Hikaru Nendoroid figure Orange Rouge NEW,80.68,0,5,403.38,Jun 29 2026
Haikyu!! Posing Figure Kenma Kozume & Tetsuro Kuroo Set Second Uniform Ver. JP,48.32,0,6,289.9,Jul 13 2026
Mononoke the Movie Noodle Stopper Figure Medicine Seller Furyu New,35.46,0,12,425.5,Jul 17 2026
